title,director,genre,ratings,keywords
Domino,tonyscott,"['action', 'crime']",6,"['bountyhunter', 'fbi', 'weapon']"
Jade,williamfriedkin,"['action', 'thriller', 'mystery']",5.2,"['callgirl', 'sanfrancisco', 'investigation']"
Gamer,briantaylor,"['action', 'thriller', 'sciencefiction']",5.6,"['dystopia', 'mindcontrol', 'gunbattle']"
Beautiful Creatures,richardlagravenese,"['fantasy', 'drama', 'romance']",5.6,"['civilwar', 'southernusa', 'magic']"
Death to Smoochy,dannydevito,"['comedy', 'crime', 'drama']",5.9,"['corruption', 'moderator', 'tvshow']"
Zoolander 2,benstiller,['comedy'],4.7,"['stupidity', 'sequel', 'fashion']"
The Big Bounce,georgearmitage,"['comedy', 'crime']",5,"['hotel', 'robbery', 'basedonnovel']"
What Planet Are You From?,mikenichols,"['comedy', 'drama', 'romance']",5.4,"['noises', 'alienlife-form', 'erection']"
Drive Angry,patricklussier,"['fantasy', 'thriller', 'action']",5.3,"['bone', 'carexplosion', 'premaritalsex']"
Street Fighter: The Legend of Chun-Li,andrzejbartkowiak,"['action', 'adventure', 'sciencefiction']",3.9,"['martialarts', 'revenge', 'streetfighter']"
The One,jameswong,"['action', 'sciencefiction', 'thriller']",5.7,['dualidentity']
The Adventures of Ford Fairlane,rennyharlin,"['action', 'comedy', 'thriller']",6.2,"['rockandroll', 'showbusiness', 'rockstar']"
The Boat That Rocked,richardcurtis,"['drama', 'comedy']",7.2,"['greatbritain', 'musical', 'rock']"
Traffic,stevensoderbergh,"['thriller', 'drama', 'crime']",6.9,"['usa', 'warondrugs', 'drugtraffic']"
Indiana Jones and the Last Crusade,stevenspielberg,"['adventure', 'action']",7.6,"['savingtheworld', 'venice', 'holygrail']"
Anna Karenina,joewright,"['drama', 'romance']",6.5,"['basedonnovel', 'st.petersburgrussia', 'highsociety']"
Chappie,neillblomkamp,"['crime', 'action', 'sciencefiction']",6.6,"['artificialintelligence', 'android', 'robot']"
The Bone Collector,phillipnoyce,"['drama', 'mystery', 'thriller']",6.5,"['paraplegic', 'investigation', 'psychopath']"
Panic Room,davidfincher,"['crime', 'drama', 'thriller']",6.5,"['burglar', 'bunker', 'housebreaking']"
The Tooth Fairy,chuckbowman,['horror'],4.3,"['gore', 'slasher', 'singlemother']"
